zone,FGA,FGM,FG_PCT,FREQ,SEASON
Above-break 3,31486,10999,0.3493298608905545,0.15798928205848706,2010-11
Corner 3,12345,4867,0.39424868367760224,0.06194428276097385,2010-11
Long mid (10–22),61638,24837,0.4029494792173659,0.3092848684342573,2010-11
Rim (0–3),62928,39009,0.6198989321128909,0.3157577825502278,2010-11
Short mid (3–10),30895,11887,0.38475481469493444,0.15502378419605403,2010-11
Above-break 3,26287,8994,0.34214630806101876,0.1633737515615192,2011-12
Corner 3,9789,3679,0.3758300132802125,0.06083865233901592,2011-12
Long mid (10–22),48966,19018,0.3883919454315239,0.30432377673227634,2011-12
Rim (0–3),52099,31512,0.604848461582756,0.3237953772816825,2011-12
Short mid (3–10),23760,8994,0.37853535353535356,0.147668442085506,2011-12
Above-break 3,35099,12319,0.35097866036069403,0.17448386599655,2012-13
Corner 3,13530,5273,0.38972653362897264,0.0672602269846241,2012-13
Long mid (10–22),57544,22714,0.39472403725844574,0.28606226915027416,2012-13
Rim (0–3),66135,39988,0.6046420201103803,0.328769779129942,2012-13
Short mid (3–10),28851,10973,0.3803334373158643,0.14342385873860974,2012-13
Above-break 3,38979,13750,0.3527540470509762,0.19137184434559754,2013-14
Corner 3,13516,5275,0.3902781888132584,0.06635834290708065,2013-14
Long mid (10–22),55168,21898,0.39693300464037123,0.27085358549110866,2013-14
Rim (0–3),66016,40159,0.6083222249151721,0.3241130782297896,2013-14
Short mid (3–10),30003,11668,0.38889444388894445,0.14730314902642355,2013-14
Above-break 3,40335,13744,0.3407462501549523,0.19664003198112334,2014-15
Corner 3,14361,5539,0.3856973748346215,0.07001233418323818,2014-15
Long mid (10–22),54266,21613,0.39827884863450413,0.2645560425309939,2014-15
Rim (0–3),66133,39735,0.6008346816264195,0.3224096996406999,2014-15
Short mid (3–10),30026,11637,0.38756411110371014,0.1463818916639447,2014-15
Above-break 3,43429,15149,0.34882221557024107,0.20934884886815008,2015-16
Corner 3,15224,5742,0.37716763005780346,0.07338706567428946,2015-16
Long mid (10–22),51814,20796,0.40135870614119734,0.24976861671358605,2015-16
Rim (0–3),67443,40634,0.602493957860712,0.32510797886699316,2015-16
Short mid (3–10),29538,11679,0.3953889904529758,0.14238748987698122,2015-16
Above-break 3,50072,17599,0.3514738776162326,0.2390870457909564,2016-17
Corner 3,15671,6068,0.38721204773147855,0.0748269111397603,2016-17
Long mid (10–22),47739,19398,0.406334443536731,0.22794728548918494,2016-17
Rim (0–3),67289,41113,0.6109913953246444,0.32129589839087047,2016-17
Short mid (3–10),28659,11802,0.41180780906521514,0.1368428591892279,2016-17
Above-break 3,55120,19630,0.3561320754716981,0.2611257970684934,2017-18
Corner 3,15609,6140,0.39336280351079506,0.07394616412267986,2017-18
Long mid (10–22),44160,17944,0.4063405797101449,0.2092038316136551,2017-18
Rim (0–3),66875,42188,0.6308485981308412,0.31681399998105036,2017-18
Short mid (3–10),29322,11495,0.3920264647704795,0.13891020721412126,2017-18
Above-break 3,60285,21061,0.34935721987227336,0.27544250820136523,2018-19
Corner 3,17883,6832,0.3820388078062965,0.08170752880758089,2018-19
Long mid (10–22),37468,15236,0.40664033308423186,0.1711915053046156,2018-19
Rim (0–3),72427,45574,0.6292404766178359,0.33091937532554166,2018-19
Short mid (3–10),30803,12295,0.3991494334967373,0.14073908236089663,2018-19
Above-break 3,55519,19508,0.3513752048848142,0.2959135268816058,2019-20
Corner 3,16247,6320,0.3889948913645596,0.08659570725779372,2019-20
Long mid (10–22),28875,11840,0.41004329004329004,0.15390232332546278,2019-20
Rim (0–3),60503,38441,0.6353569244500272,0.32247800062893417,2019-20
Short mid (3–10),26475,10403,0.3929367327667611,0.14111044190620353,2019-20
Above-break 3,56819,20464,0.36016121367852305,0.29811223740267373,2020-21
Corner 3,17633,6931,0.39306981228378607,0.09251505802850007,2020-21
Long mid (10–22),28756,12134,0.4219641118375296,0.15087410019097988,2020-21
Rim (0–3),57440,36818,0.6409818941504178,0.30137043799450147,2020-21
Short mid (3–10),29948,12634,0.4218645652464271,0.15712816638334487,2020-21
Above-break 3,64447,22299,0.3460052446196099,0.2982456140350877,2021-22
Corner 3,21468,8226,0.3831749580771381,0.09934887337044801,2021-22
Long mid (10–22),32044,13317,0.41558482087130194,0.1482921230800557,2021-22
Rim (0–3),62987,41140,0.6531506501341546,0.2914890761591396,2021-22
Short mid (3–10),35141,14869,0.42312398622691444,0.16262431335526895,2021-22
Above-break 3,62625,22201,0.3545069860279441,0.28902334339434554,2022-23
Corner 3,21005,8093,0.3852892168531302,0.09694108308180803,2022-23
Long mid (10–22),30692,13244,0.43151309787566794,0.1416479753366747,2022-23
Rim (0–3),64983,43298,0.6662973393041257,0.299905851078559,2022-23
Short mid (3–10),37373,16355,0.4376153907901426,0.17248174710861278,2022-23
Above-break 3,63770,22939,0.3597145993413831,0.2921798255259878,2023-24
Corner 3,22151,8633,0.3897340977833958,0.10149090975734917,2023-24
Long mid (10–22),29620,12744,0.43024983119513843,0.1357121911883293,2023-24
Rim (0–3),64669,42884,0.663130711778441,0.2962988417271461,2023-24
Short mid (3–10),38046,16529,0.4344477737475687,0.1743182318011876,2023-24
Above-break 3,68358,24143,0.35318470405804736,0.31212700963896134,2024-25
Corner 3,23585,9149,0.3879160483358067,0.10769062176094828,2024-25
Long mid (10–22),26337,11195,0.42506739567908264,0.12025643015976659,2024-25
Rim (0–3),61190,40603,0.6635561366236313,0.27939746218157413,2024-25
Short mid (3–10),39537,17462,0.4416622404330121,0.1805284762587497,2024-25
