zone,FGA,FGM,FG_PCT,FREQ,PPS,TEAM_ID,TEAM_NAME,SEASON,W_PCT,GP
Above-break 3,903,307,0.3399778516057586,0.1407638347622759,1.0199335548172759,1610612737,Atlanta Hawks,2010-11,0.537,82
Corner 3,510,194,0.3803921568627451,0.07950116913484022,1.1411764705882352,1610612737,Atlanta Hawks,2010-11,0.537,82
Long mid (10–22),2276,974,0.4279437609841828,0.3547934528448948,0.8558875219683656,1610612737,Atlanta Hawks,2010-11,0.537,82
Rim (0–3),1685,1051,0.6237388724035609,0.2626656274356976,1.8712166172106826,1610612737,Atlanta Hawks,2010-11,0.537,82
Short mid (3–10),1041,444,0.4265129682997118,0.1622759158222915,1.2795389048991355,1610612737,Atlanta Hawks,2010-11,0.537,82
Above-break 3,812,269,0.3312807881773399,0.1307357913379488,0.9938423645320198,1610612738,Boston Celtics,2010-11,0.683,82
Corner 3,299,139,0.46488294314381273,0.048140396071486076,1.3946488294314383,1610612738,Boston Celtics,2010-11,0.683,82
Long mid (10–22),2187,933,0.42661179698216734,0.35211721139913055,0.8532235939643347,1610612738,Boston Celtics,2010-11,0.683,82
Rim (0–3),2139,1375,0.6428237494156148,0.34438898728063116,1.9284712482468445,1610612738,Boston Celtics,2010-11,0.683,82
Short mid (3–10),774,307,0.39664082687338503,0.12461761391080341,1.1899224806201552,1610612738,Boston Celtics,2010-11,0.683,82
Above-break 3,1120,374,0.3339285714285714,0.1686746987951807,1.0017857142857143,1610612739,Cleveland Cavaliers,2010-11,0.232,82
Corner 3,364,137,0.37637362637362637,0.054819277108433734,1.129120879120879,1610612739,Cleveland Cavaliers,2010-11,0.232,82
Long mid (10–22),1876,713,0.3800639658848614,0.2825301204819277,0.7601279317697228,1610612739,Cleveland Cavaliers,2010-11,0.232,82
Rim (0–3),2142,1262,0.5891690009337068,0.3225903614457831,1.7675070028011204,1610612739,Cleveland Cavaliers,2010-11,0.232,82
Short mid (3–10),1138,400,0.351493848857645,0.1713855421686747,1.054481546572935,1610612739,Cleveland Cavaliers,2010-11,0.232,82
Above-break 3,815,293,0.3595092024539877,0.12728408558488208,1.0785276073619632,1610612740,New Orleans Pelicans,2010-11,0.561,82
Corner 3,404,149,0.3688118811881188,0.06309542401999063,1.1064356435643563,1610612740,New Orleans Pelicans,2010-11,0.561,82
Long mid (10–22),2283,972,0.42575558475689884,0.35655161642979855,0.8515111695137977,1610612740,New Orleans Pelicans,2010-11,0.561,82
Rim (0–3),1745,1069,0.6126074498567335,0.2725285022645635,1.8378223495702006,1610612740,New Orleans Pelicans,2010-11,0.561,82
Short mid (3–10),1156,459,0.39705882352941174,0.18054037170076526,1.1911764705882353,1610612740,New Orleans Pelicans,2010-11,0.561,82
Above-break 3,1003,363,0.36191425722831505,0.15266362252663623,1.085742771684945,1610612741,Chicago Bulls,2010-11,0.756,82
Corner 3,396,148,0.37373737373737376,0.06027397260273973,1.1212121212121213,1610612741,Chicago Bulls,2010-11,0.756,82
Long mid (10–22),2103,835,0.39705183071802186,0.32009132420091324,0.7941036614360437,1610612741,Chicago Bulls,2010-11,0.756,82
Rim (0–3),2312,1410,0.6098615916955017,0.35190258751902587,1.829584775086505,1610612741,Chicago Bulls,2010-11,0.756,82
Short mid (3–10),756,286,0.3783068783068783,0.11506849315068493,1.1349206349206349,1610612741,Chicago Bulls,2010-11,0.756,82
Above-break 3,1214,433,0.35667215815486,0.18836307214895268,1.07001647446458,1610612742,Dallas Mavericks,2010-11,0.695,82
Corner 3,536,211,0.39365671641791045,0.08316524437548488,1.1809701492537314,1610612742,Dallas Mavericks,2010-11,0.695,82
Long mid (10–22),1984,887,0.4470766129032258,0.3078355314197052,0.8941532258064516,1610612742,Dallas Mavericks,2010-11,0.695,82
Rim (0–3),1727,1136,0.6577880718008107,0.2679596586501164,1.973364215402432,1610612742,Dallas Mavericks,2010-11,0.695,82
Short mid (3–10),984,401,0.40752032520325204,0.15267649340574088,1.2225609756097562,1610612742,Dallas Mavericks,2010-11,0.695,82
Above-break 3,1182,458,0.38747884940778343,0.17930825242718446,1.1624365482233503,1610612743,Denver Nuggets,2010-11,0.61,82
Corner 3,501,202,0.4031936127744511,0.07600121359223301,1.2095808383233533,1610612743,Denver Nuggets,2010-11,0.61,82
Long mid (10–22),1665,677,0.4066066066066066,0.2525788834951456,0.8132132132132132,1610612743,Denver Nuggets,2010-11,0.61,82
Rim (0–3),2593,1565,0.6035480138835326,0.39335558252427183,1.810644041650598,1610612743,Denver Nuggets,2010-11,0.61,82
Short mid (3–10),651,241,0.37019969278033793,0.09875606796116505,1.1105990783410138,1610612743,Denver Nuggets,2010-11,0.61,82
Above-break 3,1199,458,0.38198498748957466,0.17060330108138874,1.145954962468724,1610612744,Golden State Warriors,2010-11,0.439,82
Corner 3,531,226,0.4256120527306968,0.07555492316448492,1.2768361581920904,1610612744,Golden State Warriors,2010-11,0.439,82
Long mid (10–22),2072,820,0.39575289575289574,0.2948207171314741,0.7915057915057915,1610612744,Golden State Warriors,2010-11,0.439,82
Rim (0–3),2216,1389,0.6268050541516246,0.31531018782014797,1.8804151624548737,1610612744,Golden State Warriors,2010-11,0.439,82
Short mid (3–10),1010,357,0.35346534653465345,0.14371087080250428,1.0603960396039604,1610612744,Golden State Warriors,2010-11,0.439,82
Above-break 3,1388,499,0.3595100864553314,0.1994826099453866,1.0785302593659942,1610612745,Houston Rockets,2010-11,0.524,82
